ID	5_11_1_1	5_12_2_1	5_13_5_1	5_14_1_1	5_14_5_1	5_12_2_3	5_13_5_3	5_14_1_3	5_14_5_3	5_11_1_3	5_12_2_5	5_13_5_5	5_14_1_5	5_14_5_5
2223_1	28	3	11	2	7	25	53	5	162	40	176	171	12	176
2222_1	2	0	1	1	0	0	10	1	7	6	18	15	5	10
2221_1	10	0	0	0	0	2	8	2	21	0	12	15	3	20
2220_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
222_1	18	1	4	1	3	9	16	12	84	15	11	59	3	86
2219_1	15	1	1	4	1	13	36	0	19	3	8	10	2	14
2218_1	15	0	3	2	3	4	59	0	50	7	16	52	7	83
2217_1	22	0	4	0	0	0	18	0	42	4	25	17	0	37
2216_1	3	2	0	2	0	2	54	0	16	106	327	242	58	623
2215_1	9	0	8	0	0	2	39	0	57	8	60	21	17	122
2214_1	2	0	3	0	0	0	21	0	37	14	44	31	5	73
2213_1	18	0	1	1	0	8	45	1	77	41	216	109	32	175
2212_1	34	4	147	9	28	91	2923	21	4550	2220	9869	4407	788	12273
2211_1	10	1	12	0	2	7	185	0	177	62	316	227	37	315
2210_1	15	3	2	2	2	4	60	6	106	26	108	80	23	130
221_1	4	0	1	1	0	0	0	0	5	1	0	4	0	2
2209_1	10	0	6	2	3	4	116	3	163	30	109	142	19	208
2208_1	7	0	5	0	0	5	1	0	64	4	4	55	0	133
2207_1	14	0	3	0	2	2	25	0	10	2	15	8	0	21
2206_1	9	0	1	0	3	8	17	0	38	124	49	72	75	264
2205_1	5	1	2	0	0	6	20	6	105	7	69	57	9	96
2204_1	4	1	3	1	0	2	26	2	48	18	98	48	8	135
2203_1	0	0	0	0	0	0	0	0	0	0	3	1	0	1
2202_1	0	0	0	0	0	0	6	2	11	2	20	7	3	22
2201_1	17	3	18	2	1	38	108	10	145	13	73	81	17	292
2200_1	14	3	4	2	1	7	325	24	539	65	782	749	137	1111
220_1	1	0	0	0	0	0	1	0	2	0	1	0	0	3
22_1	0	0	0	0	0	4	6	0	13	0	3	3	1	13
2199_1	9	1	6	0	0	2	10	1	4	0	14	25	0	17
2198_1	10	0	4	0	0	0	64	1	38	6	1	6	2	518
2197_1	6	4	14	2	1	10	15	3	288	3	46	41	1	455
2196_1	9	1	0	0	0	1	39	0	9	1	37	47	2	35
2195_1	11	1	4	1	2	5	3	0	14	4	7	3	2	8
2194_1	6	4	13	1	1	20	118	3	264	45	287	227	29	240
2193_1	0	0	0	0	0	0	2	0	0	3	5	4	1	6
2192_1	10	0	4	0	0	3	5	1	39	0	10	3	1	13
2191_1	2	1	2	0	1	1	15	4	33	9	13	36	5	38
2190_1	5	2	3	1	0	7	64	2	41	32	195	68	16	177
219_1	20	0	4	1	0	4	43	3	52	9	76	45	6	131
2189_1	2	0	0	0	0	0	5	0	5	4	9	10	1	36
2188_1	2	1	2	0	0	1	16	0	13	8	23	30	22	35
2187_1	7	0	2	0	1	1	24	0	65	4	42	11	8	74
2186_1	9	1	0	0	0	6	15	3	30	1	25	13	1	22
2185_1	12	0	5	0	0	60	89	19	195	31	50	169	17	243
2184_1	9	0	0	0	0	0	3	0	14	0	3	10	2	15
2183_1	0	0	0	0	0	0	3	0	0	5	8	7	4	12
2182_1	3	0	1	0	0	3	5	1	33	0	4	13	1	12
2181_1	8	1	5	2	5	5	42	0	59	23	177	110	39	211
2180_1	6	1	9	2	1	6	125	1	215	58	322	289	49	258
218_1	5	0	0	2	0	2	5	3	52	1	10	6	3	16
2179_1	3	0	1	0	0	0	1	1	3	1	2	1	0	15
