,3_X_13_11,3_X_15_11,3_X_16_11,3_X_28_11,3_X_45_11,3_X_46_11,3_X_47_11,3_X_49_11,3_X_50_11,5_11_1_-1,5_11_1_1,5_11_1_3,5_11_1_5,5_11_1_8,5_12_2_-1,5_12_2_1,5_12_2_3,5_12_2_5,5_12_2_8,5_13_5_-1,5_13_5_1,5_13_5_3,5_13_5_5,5_13_5_8,5_14_1_-1,5_14_1_1,5_14_1_3,5_14_1_5,5_14_1_8,5_14_5_-1,5_14_5_1,5_14_5_3,5_14_5_5,5_14_5_8,ID
1846_1,26919.03615,31149.20588,21801.16241,33599.10897,0,0,0,0,0,0,378629.6428,183192.8462,0,47532.70411,120747.0497,304965.7514,153933.6471,65435.37345,33993.95098,0,83187.57049,55540.83604,165692.8952,81372.49099,0,0,0,87888.57513,65790.55998,0,305950.7766,81201.89897,86904.97492,61303.06085,1846_1
1845_1,57891.10884,29435.16402,43716.90256,19773.03935,0,0,0,0,0,62727.91395,569436.9028,328560.1284,18879.90992,99459.36013,0,319061.3606,281834.887,493221.8576,234730.067,140152.6197,58021.68344,254222.2825,772201.1159,237664.4997,197285.1164,273628.253,50705.92375,448260.2068,165195.4069,0,0,155043.0124,1108108.818,96204.76029,1845_1
1844_1,33851.45667,21869.6739,31633.36649,106035.8652,0,0,0,0,0,0,226623.179,68351.60831,0,8276.363001,0,0,268028.2483,7768.339055,41433.02982,233251.8437,72422.82377,30221.04262,91796.52785,31485.60958,109445.2539,0,84388.3634,19128.87572,0,0,133179.8672,162596.4408,37829.59189,0,1844_1
1843_1,347722.1629,90392.98584,201152.0585,284819.6468,0,0,0,0,0,0,425769.0333,543297.6409,312192.7962,276298.1024,0,211036.2999,106522.0838,312852.4691,197600.0382,185401.8941,268640.3943,201779.8573,1438455.338,538071.076,0,0,0,547370.0459,373321.9536,0,423435.8748,106764.2568,759245.3134,636325.7716,1843_1
1842_1,0,15084.65275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34741.71098,150754.3922,11311.07514,0,0,0,0,16461.23309,0,0,40634.50399,54360.49826,0,1842_1
1841_1,47503.02772,127667.2688,36067.2236,66702.49339,0,0,0,0,0,0,93959.11832,623456.3092,71650.80567,415202.0665,0,0,611192.2842,70857.44016,215956.3259,0,0,165393.3257,418652.3614,152569.7151,0,0,1154598.821,0,39183.13187,0,607387.5253,322411.4743,431319.3632,365104.9509,1841_1
1840_1,0,0,49255.98447,37955.70986,0,0,0,0,0,0,0,236510.1671,0,515481.5344,1091228.934,1378035.541,0,0,61442.79796,1210646.696,0,0,272257.9323,20427.46405,0,0,1752003.186,0,59456.99115,0,1382486.531,293538.8049,49086.71858,0,1840_1
184_1,40697.81869,0,0,28573.39956,0,0,0,0,0,0,160997.3657,89023.48985,0,0,0,0,0,10117.75246,0,0,0,0,51239.55467,0,0,0,0,0,22379.87869,0,0,69055.82841,0,0,184_1
1839_1,147692.8193,43922.95949,232363.5702,186987.6883,0,0,0,0,0,0,670463.6284,317771.0132,1592266.734,1793044.17,0,0,155760.0657,173354.4325,137589.1532,0,179572.4561,376538.8381,1109596.666,759339.0882,101763.6017,0,0,142290.1932,362147.1279,0,495329.399,161044.1004,1248692.622,272933.8481,1839_1
1838_1,7908.528087,5313.662251,19214.85275,0,0,0,0,0,0,0,125142.0572,0,0,0,0,0,0,0,0,0,0,55070.92177,119484.3764,0,0,0,0,0,0,0,0,21470.63311,0,162091.7177,1838_1
